"","Polaridade","word","stem"
"1",-1,"indicada","indicado"
"2",-1,"indicada","indicar"
"3",-1,"grammy",NA
"4",-1,"apocalipse",NA
"5",-1,"twitter",NA
"6",-1,"fracassada","fracassado"
"7",-1,"fracassada","fracassar"
"8",-1,"capaz",NA
"9",-1,"acabar",NA
"10",-1,"paz",NA
"11",-1,"leo",NA
"12",-1,"picon",NA
"13",-1,"questionar",NA
"14",-1,"inquestionaveis",NA
"15",-1,"sinceramente",NA
"16",-1,"pior","mal"
"17",-1,"envolver",NA
"18",-1,"anuncia","anunciar"
"19",-1,"proximo",NA
"20",-1,"reggaeton",NA
"21",-1,"generico",NA
"22",-1,"passei","passar"
"23",-1,"limite","limitar"
"24",-1,"compra","comprar"
"25",-1,"mentir",NA
"26",-1,"arrependi","arrepender"
"27",-1,"comprado","comprar"
"28",-1,"ensaios","ensaio"
"29",-1,"iria","ir"
"30",-1,"iria","iriar"
"31",-1,"esgotar",NA
"32",-1,"performance",NA
"33",-1,"savage",NA
"34",-1,"fenty",NA
"35",-1,"meh",NA
"36",-1,"sonhei","sonhar"
"37",-1,"virava","virar"
"38",-1,"artista",NA
"39",-1,"puto",NA
"40",-1,"descobri","descobrir"
"41",-1,"anitters",NA
"42",-1,"roubaram","roubar"
"43",-1,"meme",NA
"44",-1,"afeta",NA
"45",-1,"gremio",NA
"46",-1,"usando","usar"
"47",-1,"afeta",NA
"48",-1,"parei","parar"
"49",-1,"bonita","bonito"
"50",-1,"seila",NA
"51",-1,"orna","ornar"
"52",-1,"explicar",NA
"53",-1,"liguei","ligar"
"54",-1,"tv",NA
"55",-1,"multishow",NA
"56",-1,"reprise",NA
"57",-1,"musicaboa",NA
"58",-1,"ludmilla",NA
"59",-1,"cantar",NA
"60",-1,"onda",NA
"61",-1,"voz",NA
"62",-1,"prime","premir"
"63",-1,"prime","primar"
"64",-1,"video",NA
"65",-1,"escolhendo","escolher"
"66",-1,"foto",NA
"67",-1,"deus",NA
"68",-1,"dancou",NA
"69",-1,"performance",NA
"70",-1,"show",NA
"71",-1,"riri",NA
"72",-1,"enfiou","enfiar"
"73",-1,"aya",NA
"74",-1,"nakamura",NA
"75",-1,"crossfit",NA
"76",-1,"cintura",NA
"77",-1,"mexe","mexer"
"78",-1,"lace","laçar"
"79",-1,"ajudar",NA
"80",-1,"amor",NA
"81",-1,"deus",NA
"82",-1,"lace","laçar"
"83",-1,"pessima",NA
"84",-1,"tento","tentar"
"85",-1,"consigo","comigo"
"86",-1,"consigo","conseguir"
"87",-1,"pedro","pedrar"
"88",-1,"sampaio",NA
"89",-1,"sonza",NA
"90",-1,"pablo",NA
"91",-1,"gloria","gloriar"
"92",-1,"musicas","musicar"
"93",-1,"balada","balar"
"94",-1,"lgbt",NA
"95",-1,"foz",NA
"96",-1,"odio",NA
"97",-1,"rihanna",NA
"98",-1,"mandou","mandar"
"99",-1,"mixar",NA
"100",-1,"musica","musicar"
"101",-1,"direito",NA
"102",-1,"dependesse","depender"
"103",-1,"propria",NA
"104",-1,"lancado",NA
"105",-1,"bosta","bostar"
"106",-1,"lancou",NA
"107",-1,"original",NA
"108",-1,"rihanna",NA
"109",-1,"respeitando","respeitar"
"110",-1,"funk",NA
"111",-1,"cairoca",NA
"112",-1,"precursora","precursor"
"113",-1,"genero",NA
"114",-1,"achando","achar"
"115",-1,"luisa",NA
"116",-1,"gracas",NA
"117",-1,"gracinhas","graça"
"118",-1,"fizeram","fazer"
"119",-1,"saco","sacar"
"120",-1,"acompanhar",NA
"121",-1,"deus",NA
"122",-1,"entendi","entender"
"123",-1,"palavra",NA
"124",-1,"cantou","cantar"
"125",-1,"musica","musicar"
"126",-1,"desfile","desfilar"
"127",-1,"riri",NA
"128",-1,"pabllo",NA
"129",-1,"vittar",NA
"130",-1,"luisa",NA
"131",-1,"sonza",NA
"132",-1,"provando","provar"
"133",-1,"serem","ser"
"134",-1,"insuportaveis",NA
"135",-1,"chuva",NA
"136",-1,"verificado","verificar"
"137",-1,"baderna",NA
"138",-1,"twitter",NA
"139",-1,"pantera",NA
"140",-1,"negra","negro"
"141",-1,"nota","notar"
"142",-1,"nota","noto"
"143",-1,"desfile","desfilar"
"144",-1,"rihanna",NA
"145",-1,"nota","notar"
"146",-1,"nota","noto"
"147",-1,"apresentacao",NA
"148",-1,"nota","notar"
"149",-1,"nota","noto"
"150",-1,"explicando","explicar"
"151",-1,"pai",NA
"152",-1,"imagem",NA
"153",-1,"tiradentes",NA
"154",-1,"fabricada","fabricado"
"155",-1,"fabricada","fabricar"
"156",-1,"parecer",NA
"157",-1,"heroismo",NA
"158",-1,"mandou","mandar"
"159",-1,"espero","esperar"
"160",-1,"pv",NA
"161",-1,"faca",NA
"162",-1,"sabemos","saber"
"163",-1,"estragar",NA
"164",-1,"legado","legar"
"165",-1,"deixaram","deixar"
"166",-1,"saiu","sair"
"167",-1,"modo",NA
"168",-1,"turbo","turbar"
"169",-1,"bomba",NA
"170",-1,"andar",NA
"171",-1,"carruagem",NA
"172",-1,"achando","achar"
"173",-1,"morna","mornar"
"174",-1,"morna","morno"
"175",-1,"vma",NA
"176",-1,"imagina","imaginar"
"177",-1,"treinar",NA
"178",-1,"ouvindo","ouvir"
"179",-1,"senti","sentir"
"180",-1,"cheiro","cheirar"
"181",-1,"perfume","perfumar"
"182",-1,"xereca",NA
"183",-1,"pqp",NA
"184",-1,"bgl",NA
"185",-1,"pavoroso",NA
"186",-1,"burro",NA
"187",-1,"insuportavel",NA
"188",-1,"burras","burra"
"189",-1,"burras","burro"
"190",-1,"acham","achar"
"191",-1,"rihanna",NA
"192",-1,"hitou",NA
"193",-1,"causa","causar"
"194",-1,"passando","passar"
"195",-1,"vergonha",NA
"196",-1,"dizendo","dizer"
"197",-1,"funk",NA
"198",-1,"shows","show"
"199",-1,"savage",NA
"200",-1,"fenty",NA
"201",-1,"artista",NA
"202",-1,"argumentos","argumento"
"203",-1,"odiar",NA
"204",-1,"supera","superar"
"205",-1,"quesito",NA
"206",-1,"aguento","aguentar"
"207",-1,"sindrome",NA
"208",-1,"ficam","ficar"
"209",-1,"falando","falar"
"210",-1,"acontece","acontecer"
"211",-1,"sofrendo","sofrer"
"212",-1,"hate",NA
"213",-1,"ficam","ficar"
"214",-1,"bicho","bichar"
"215",-1,"mudo","mudar"
"216",-1,"odio",NA
"217",-1,"amor",NA
"218",-1,"desmerecer",NA
"219",-1,"ninguem",NA
"220",-1,"gosto","gostar"
"221",-1,"masss",NA
"222",-1,"pqp",NA
"223",-1,"queria","querer"
"224",-1,"ficar",NA
"225",-1,"parecendo","parecer"
"226",-1,"desmerecendo","desmerecer"
"227",-1,"performance",NA
"228",-1,"fenty",NA
"229",-1,"show",NA
"230",-1,"preguicosa",NA
